id,name,symbol,market_cap_rank,current_price
bitcoin,Bitcoin,btc,1,105131.0
ethereum,Ethereum,eth,2,2637.19
tether,Tether,usdt,3,1.0
ripple,XRP,xrp,4,2.23
binancecoin,BNB,bnb,5,667.56
solana,Solana,sol,6,156.02
usd-coin,USDC,usdc,7,0.999725
dogecoin,Dogecoin,doge,8,0.190771
tron,TRON,trx,9,0.273542
cardano,Cardano,ada,10,0.680659
staked-ether,Lido Staked Ether,steth,11,2633.99
wrapped-bitcoin,Wrapped Bitcoin,wbtc,12,105216.0
hyperliquid,Hyperliquid,hype,13,36.77
wrapped-steth,Wrapped stETH,wsteth,14,3179.85
sui,Sui,sui,15,3.22
chainlink,Chainlink,link,16,14.0
avalanche-2,Avalanche,avax,17,20.84
stellar,Stellar,xlm,18,0.269077
leo-token,LEO Token,leo,19,8.96
bitcoin-cash,Bitcoin Cash,bch,20,407.84
the-open-network,Toncoin,ton,21,3.16
shiba-inu,Shiba Inu,shib,22,1.296e-05
hedera-hashgraph,Hedera,hbar,23,0.169213
usds,USDS,usds,24,0.999739
weth,WETH,weth,25,2638.51
wrapped-eeth,Wrapped eETH,weeth,26,2831.42
litecoin,Litecoin,ltc,27,89.2
polkadot,Polkadot,dot,28,4.05
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),bsc-usd,29,1.001
monero,Monero,xmr,30,320.58
ethena-usde,Ethena USDe,usde,31,1.001
bitget-token,Bitget Token,bgb,32,4.79
pepe,Pepe,pepe,33,1.226e-05
pi-network,Pi Network,pi,34,0.650823
coinbase-wrapped-btc,Coinbase Wrapped BTC,cbbtc,35,105124.0
whitebit,WhiteBIT Coin,wbt,36,31.33
aave,Aave,aave,37,269.09
uniswap,Uniswap,uni,38,6.37
dai,Dai,dai,39,0.999946
bittensor,Bittensor,tao,40,388.73
ethena-staked-usde,Ethena Staked USDe,susde,41,1.18
aptos,Aptos,apt,42,4.89
near,NEAR Protocol,near,43,2.49
crypto-com-chain,Cronos,cro,44,0.101679
okb,OKB,okb,45,49.97
blackrock-usd-institutional-digital-liquidity-fund,BlackRock USD Institutional Digital Liquidity Fund,buidl,46,1.0
jito-staked-sol,Jito Staked SOL,jitosol,47,188.33
internet-computer,Internet Computer,icp,48,5.27
ondo-finance,Ondo,ondo,50,0.840352
ethereum-classic,Ethereum Classic,etc,49,17.45
susds,sUSDS,susds,51,1.054
tokenize-xchange,Tokenize Xchange,tkx,52,30.77
gatechain-token,Gate,gt,53,19.28
mantle,Mantle,mnt,54,0.675197
kaspa,Kaspa,kas,55,0.086529
official-trump,Official Trump,trump,56,10.92
usd1-wlfi,USD1,usd1,57,1.0
fetch-ai,Artificial Superintelligence Alliance,fet,58,0.808732
vechain,VeChain,vet,59,0.02427575
render-token,Render,render,60,3.84
cosmos,Cosmos Hub,atom,61,4.3
ethena,Ethena,ena,62,0.33416
polygon-ecosystem-token,POL (ex-MATIC),pol,63,0.217698
lombard-staked-btc,Lombard Staked BTC,lbtc,64,104858.0
fasttoken,Fasttoken,ftn,65,4.42
worldcoin-wld,Worldcoin,wld,66,1.16
arbitrum,Arbitrum,arb,67,0.365915
filecoin,Filecoin,fil,68,2.6
quant-network,Quant,qnt,69,117.85
algorand,Algorand,algo,70,0.193516
binance-peg-weth,Binance-Peg WETH,weth,71,2637.56
jupiter-exchange-solana,Jupiter,jup,72,0.539859
first-digital-usd,First Digital USD,fdusd,73,0.997977
jupiter-perpetuals-liquidity-provider-token,Jupiter Perpetuals Liquidity Provider Token,jlp,74,4.47
celestia,Celestia,tia,75,2.2
kucoin-shares,KuCoin,kcs,76,11.19
binance-staked-sol,Binance Staked SOL,bnsol,77,165.46
usdt0,USDT0,usdt0,78,1.001
sonic-3,Sonic,s,79,0.400767
bonk,Bonk,bonk,80,1.628e-05
nexo,NEXO,nexo,81,1.25
rocket-pool-eth,Rocket Pool ETH,reth,82,3001.46
injective-protocol,Injective,inj,83,12.61
virtual-protocol,Virtuals Protocol,virtual,84,1.82
blockstack,Stacks,stx,85,0.768706
flare-networks,Flare,flr,86,0.01784016
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,rseth,87,2758.63
story-2,Story,ip,88,4.05
spx6900,SPX6900,spx,89,1.19
optimism,Optimism,op,90,0.640633
sei-network,Sei,sei,91,0.196758
immutable-x,Immutable,imx,92,0.562954
fartcoin,Fartcoin,fartcoin,93,1.026
binance-bridged-usdc-bnb-smart-chain,Binance Bridged USDC (BNB Smart Chain),usdc,94,1.0
xdce-crowd-sale,XDC Network,xdc,95,0.05991
paypal-usd,PayPal USD,pyusd,96,0.999456
mantle-staked-ether,Mantle Staked Ether,meth,97,2811.26
vaulta,Vaulta,a,98,0.614741
polygon-bridged-usdt-polygon,Polygon Bridged USDT (Polygon),usdt,99,1.0
solv-btc,Solv Protocol BTC,solvbtc,100,105013.0
stakewise-v3-oseth,StakeWise Staked ETH,oseth,101,2762.91
maker,Maker,mkr,102,1801.53
dogwifcoin,dogwifhat,wif,103,0.929469
the-graph,The Graph,grt,104,0.096447
curve-dao-token,Curve DAO,crv,105,0.67262
renzo-restaked-eth,Renzo Restaked ETH,ezeth,106,2770.75
wbnb,Wrapped BNB,wbnb,107,668.17
arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),wbtc,108,105191.0
tether-gold,Tether Gold,xaut,109,3377.09
zcash,Zcash,zec,110,51.33
jupiter-staked-sol,Jupiter Staked SOL,jupsol,111,173.66
clbtc,clBTC,clbtc,112,105494.0
pax-gold,PAX Gold,paxg,113,3391.01
